Answer.variation1,Answer.variation2,Answer.variation3,Answer.variation4,Answer.variation5,Answer.variation6,Answer.variation7,Answer.variation8
"1.	[Email] [Joe] a .[PDF] version of [abc.txt]","2.	Send [Joe] and [email] containing [abc.txt] in [PDF] format.","3.	Send [Joe] a [PDF] version of [abc.txt] by [email].","4.	[Email} [abc.txt] in [PDF] fomat to [Joe].","5.	[Email] [Joe] [abc.txt] in [PDF] format","6.	Get a [PDF] copy of [abc.text] to [Joe]‰Ûªs [email].","7.	Transmit a [PDF] of [abc.text] to [Joe] by [email].","8.	Transfer [abc.txt] to [Joe] by [email] in [PDF] format"
[Email] a [PDF] to [Joe] containing [abc.text].,Send an [email] to [Joe] containing a [PDF] with [abc.text].,[Email] [Joe] and send a [PDF] containing [abc.text].,Send a [PDF] containing [abc.text] to [Joe] via [email].,[Email] [Joe] [abc.text] in [PDF] form.,Send [Joe] an email containing [abc.text] in [PDF] form.,Make sure [Joe] gets the [email] containing [abc.text] in [PDF] form.,Send [abc.text] in the form of a [PDF] to [Joe] as an [email].
[email] [Joe] [abc.txt] as a [PDF],convert [abc.txt] to a PDF and [email] it to [Joe],I want to [email] [abc.txt] as a [PDF] to [Joe],Send [joe] [abc.txt] as a [PDF] via [email],Write an [email] to [Joe] with [abc.txt] as a [PDF] attachment,Attach [abc.txt] as a [PDF] in an [email] to [Joe],[email] [abc.txt] as a [PDF] to [Joe],I want to send [abc.txt] as a [PDF] to [Joe] via [email]
Send [Joe] an [email] with a [PDF] of [abc.txt],Send an [email] to [Joe] with [abc.txt] as a [PDF],Send [Joe] a [PDF] of [abc.txt] in an [email],Send a [PDF] of [abc.txt] in an [email] to [Joe],[Email] [Joe] a [PDF] of [abc.txt],[Email] [Joe] [abc.txt] as a [PDF],[Email] a [PDF] of [abc.txt] to [Joe],[Email] [abc.txt] to [Joe] as a [PDF]
[email] [abc.txt] in [PDF] format to [Joe].,[email] a PDF of  [abc.txt] to [Joe].,Do an [email] of [abc.txt] to [Joe] as a [PDF].,Do a [PDF]  for [abc.txt] for [Joe] and [email] it to him.,[email] [abc.txt] to [Joe] using the [PDF] format.,[Joe] needs a [PDF] of [abc.txt] sent in an [email].,Send a [email] to [Joe] of [abc.txt] in a [PDF].,[Joe] needs a [PDF] of [abc.txt] via [email]
Send the file abc.txt as a PDF to Joe in an email.,Send the file abc.txt converted to PDF to Joe via email.,Email the file abc.txt as a PDF to Joe.,Send Joe the abc.txt file as a PDF via email.,Email Joe the file abc.txt as a PDF.,Send an email to Joe containing the file abc.txt as a PDF.,Convert the abc.txt file to PDF and email to Joe.,Email the abc.txt file as a PDF to Joe.
I want to get [abc.txt] as a [PDF] to [Joe] via [emal],Use [email] to send [abc.txt] to [Joe] in [PDF],[email] [Joe] [abc.txt] in [PDF],[PDF] the [abc.txt] to [Joe] with my [email],Please send [Joe] an [email] with the [abc.txt] in [PDF],Bring up [email] to send [Joe] the [abc.txt] in [PDF],Send [abc.txt] in [PDF] using [email] to [Joe],How do I send a [PDF] of [abc.txt] to [Joe] with my [email]
[Email] [Joe] [abc.txt] as a [PDF].,[Email] [abc.txt] to [Joe] as a [PDF].,Send [Joe] an [email] with [abc.txt] as a [PDF] file.,Send [abc.txt] as a [PDF] in an [email] to [Joe].,Send an [email] to [Joe] with [abc.txt] as a [PDF].,Make sure [abc.txt] is sent to [Joe] in an [email] as a [PDF].,Send an [email] with [abc.txt] as a [PDF] to [Joe].,[Email] [Joe] the file [abc.txt] as a [PDF].
Please send the [ abc.txt] as a [PDF] to [Joe] via [email],I need the [ abc.txt] as a [PDF] to [Joe] via [email],Only send the[ abc.txt] as a [PDF] to [Joe] via [email],Send [ abc.txt] as a [PDF] to [Joe] via [email] now,Transfer [ abc.txt] as a [PDF] to [Joe] via [email],I want to send [ abc.txt] as a [PDF] to [Joe] via [email],Take the [ abc.txt] as a [PDF] to [Joe] via [email],Please give the [ abc.txt] as a [PDF] to [Joe] via [email]
[Email] [abc.txt] to [Joe] as a [PDF],[Joe] needs [abc.txt] sent as a [PDF] in an [email],Can you [email] [Joe][abc.txt] as a [PDF],[abc.txt] must be sent to [Joe] as a [PDF] attachment to an [email],[Email][Joe][abc.txt] as a [PDF],[abc.txt]must be [email]ed to [Joe] as a [PDF],[Email] a [PDF] copy of [abc.txt] to [Joe],[Joe] can only recieve [abc.txt] as an [email]ed [PDF]
